pair_key,node_idx,tender_id,country,attention,is_cartel_pair,tender_label,pred_prob
usa_12_43,1832,1177,usa,0.055225916,1,1,0.9970157
usa_12_73,1832,1177,usa,0.00971635,1,1,0.9970157
usa_43_73,1832,1177,usa,0.18820399,1,1,0.9970157
usa_22_43,1833,1178,usa,0.4825416,1,1,0.9998622
usa_43_64,1833,1178,usa,0.20631783,1,1,0.9998622
usa_22_64,1833,1178,usa,0.31114057,1,1,0.9998622
usa_60_73,1834,1179,usa,0.4105966,0,0,0.0001603529
usa_60_104,1834,1179,usa,0.4328302,0,0,0.0001603529
usa_73_104,1834,1179,usa,0.15657322,1,0,0.0001603529
usa_3_73,1835,1180,usa,0.3055857,1,0,0.00018841405
usa_6_73,1835,1180,usa,0.41378856,0,0,0.00018841405
usa_3_6,1835,1180,usa,0.28062567,0,0,0.00018841405
usa_73_112,1836,1181,usa,1.0,0,0,0.00011140592
usa_17_89,1838,1183,usa,0.45121935,0,0,0.000846458
usa_73_89,1838,1183,usa,0.38312033,1,0,0.000846458
usa_73_92,1838,1183,usa,0.16566037,1,0,0.000846458
usa_10_112,1839,1184,usa,1.0,0,0,1.053502e-06
usa_14_106,1840,1185,usa,1.0,0,0,8.6982666e-08
usa_92_106,1841,1186,usa,1.0,0,0,3.057894e-05
usa_26_104,1842,1187,usa,1.0,0,0,6.4158674e-05
usa_92_104,1843,1188,usa,0.07983116,1,0,3.788513e-05
usa_92_106,1843,1188,usa,0.5339983,0,0,3.788513e-05
usa_104_106,1843,1188,usa,0.3861705,0,0,3.788513e-05
usa_22_43,1844,1189,usa,0.4270342,1,1,0.99988115
usa_22_64,1844,1189,usa,0.32469007,1,1,0.99988115
usa_43_64,1844,1189,usa,0.24827574,1,1,0.99988115
usa_26_47,1845,1193,usa,1.0,0,0,3.533588e-07
usa_32_109,1846,1195,usa,0.14343464,0,0,4.9828446e-05
usa_73_109,1846,1195,usa,0.6625207,0,0,4.9828446e-05
usa_32_73,1846,1195,usa,0.19404459,0,0,4.9828446e-05
usa_10_43,1847,1197,usa,0.36462006,1,1,0.9997924
usa_22_43,1847,1197,usa,0.12203672,1,1,0.9997924
usa_43_64,1847,1197,usa,0.052247994,1,1,0.9997924
usa_10_22,1847,1197,usa,0.23059687,1,1,0.9997924
usa_10_64,1847,1197,usa,0.14960137,1,1,0.9997924
usa_22_64,1847,1197,usa,0.08089699,1,1,0.9997924
usa_12_92,1848,1198,usa,0.0831056,1,0,3.7837115e-05
usa_92_106,1848,1198,usa,0.6719749,0,0,3.7837115e-05
usa_12_106,1848,1198,usa,0.24491946,0,0,3.7837115e-05
usa_22_64,1849,1199,usa,0.2706837,1,1,0.9998796
usa_43_64,1849,1199,usa,0.11595528,1,1,0.9998796
usa_22_43,1849,1199,usa,0.613361,1,1,0.9998796
usa_10_46,1850,1200,usa,1.0,0,0,5.1466063e-06
usa_8_73,1851,1202,usa,0.44668317,0,0,4.1221636e-05
usa_73_104,1851,1202,usa,0.011837042,1,0,4.1221636e-05
usa_8_104,1851,1202,usa,0.54147977,0,0,4.1221636e-05
usa_10_103,1852,1203,usa,1.0,1,0,3.3218244e-06
usa_26_47,1853,1204,usa,1.0,0,0,3.4737656e-07
usa_26_47,1854,1205,usa,0.42313638,0,0,2.8542647e-05
usa_26_104,1854,1205,usa,0.2915466,0,0,2.8542647e-05
usa_47_104,1854,1205,usa,0.28531697,0,0,2.8542647e-05
usa_22_64,1855,1206,usa,0.20561396,1,1,0.99983585
usa_43_64,1855,1206,usa,0.055305112,1,1,0.99983585
usa_22_43,1855,1206,usa,0.73908097,1,1,0.99983585
usa_10_46,1856,1209,usa,1.0,0,0,5.1447123e-06
usa_12_106,1857,1210,usa,0.21310812,0,0,1.8057452e-05
usa_14_106,1857,1210,usa,0.44856584,0,0,1.8057452e-05
usa_12_14,1857,1210,usa,0.33832604,0,0,1.8057452e-05
usa_64_73,1858,1212,usa,1.0,1,1,0.9984744
usa_12_73,1859,1213,usa,1.0,1,0,0.0028322793
usa_26_47,1860,1215,usa,1.0,0,0,3.6607267e-07
usa_26_47,1861,1217,usa,1.0,0,0,3.6358776e-07
usa_22_64,1862,1218,usa,0.2885211,1,1,0.999833
usa_43_64,1862,1218,usa,0.15249142,1,1,0.999833
usa_22_43,1862,1218,usa,0.5589875,1,1,0.999833
usa_12_106,1863,1219,usa,0.23866983,0,0,2.0572035e-05
usa_14_106,1863,1219,usa,0.42174178,0,0,2.0572035e-05
usa_12_14,1863,1219,usa,0.33958828,0,0,2.0572035e-05
usa_73_106,1864,1220,usa,0.33175346,0,0,2.4370724e-05
usa_73_112,1864,1220,usa,0.2243182,0,0,2.4370724e-05
usa_106_112,1864,1220,usa,0.44392836,0,0,2.4370724e-05
usa_55_112,1865,1222,usa,1.0,0,0,1.13524486e-07
usa_45_112,1866,1223,usa,1.0,0,0,9.6274235e-08
usa_40_106,1867,1225,usa,1.0,0,0,1.1432412e-07
usa_73_109,1868,1227,usa,0.5332966,0,0,0.00014234822
usa_104_109,1868,1227,usa,0.3740994,0,0,0.00014234822
usa_73_104,1868,1227,usa,0.09260397,1,0,0.00014234822
usa_73_104,1869,1229,usa,1.0,1,0,0.0012686689
usa_73_92,1870,1230,usa,1.0,1,0,0.0039543402
usa_43_64,1871,1231,usa,0.10132541,1,1,0.99949455
usa_43_73,1871,1231,usa,0.34278968,1,1,0.99949455
usa_64_73,1871,1231,usa,0.5558849,1,1,0.99949455
usa_12_14,1872,1233,usa,0.33960927,0,0,2.2881286e-05
usa_12_106,1872,1233,usa,0.24241658,0,0,2.2881286e-05
usa_14_106,1872,1233,usa,0.41797417,0,0,2.2881286e-05
usa_26_47,1873,1238,usa,1.0,0,0,3.647119e-07
usa_22_43,1874,1239,usa,0.48080993,1,1,0.9998646
